,Year,Area_ID,Count
0,2010,1,6462
1,2010,2,8380
2,2010,3,12579
3,2010,4,7005
4,2010,5,8981
5,2010,6,8467
6,2010,7,7839
7,2010,8,7647
8,2010,9,9406
9,2010,10,8778
10,2010,11,10095
11,2010,12,13781
12,2010,13,9620
13,2010,14,10176
14,2010,15,10712
15,2010,16,8855
16,2010,17,10166
17,2010,18,10625
18,2010,19,10094
19,2010,20,8370
20,2010,21,9153
21,2011,1,6283
22,2011,2,7939
23,2011,3,11557
24,2011,4,6045
25,2011,5,9099
26,2011,6,8304
27,2011,7,7813
28,2011,8,7695
29,2011,9,8660
30,2011,10,8160
31,2011,11,9144
32,2011,12,13387
33,2011,13,8908
34,2011,14,9101
35,2011,15,9770
36,2011,16,8089
37,2011,17,9004
38,2011,18,10510
39,2011,19,9990
40,2011,20,7488
41,2011,21,8369
42,2012,1,7110
43,2012,2,8074
44,2012,3,11439
45,2012,4,6465
46,2012,5,8577
47,2012,6,8304
48,2012,7,7471
49,2012,8,7690
50,2012,9,8623
51,2012,10,8287
52,2012,11,9114
53,2012,12,13413
54,2012,13,8352
55,2012,14,9098
56,2012,15,10295
57,2012,16,7498
58,2012,17,8716
59,2012,18,9893
60,2012,19,9896
61,2012,20,7942
62,2012,21,8210
63,2013,1,6652
64,2013,2,7568
65,2013,3,11022
66,2013,4,6129
67,2013,5,7577
68,2013,6,7555
69,2013,7,7214
70,2013,8,7218
71,2013,9,8390
72,2013,10,7650
73,2013,11,8495
74,2013,12,13013
75,2013,13,8010
76,2013,14,8703
77,2013,15,9982
78,2013,16,7082
79,2013,17,8036
80,2013,18,9612
81,2013,19,9575
82,2013,20,7626
83,2013,21,8314
84,2014,1,7349
85,2014,2,7928
86,2014,3,11523
87,2014,4,6351
88,2014,5,7446
89,2014,6,7577
90,2014,7,7273
91,2014,8,7268
92,2014,9,8457
93,2014,10,7314
94,2014,11,9011
95,2014,12,13267
96,2014,13,8544
97,2014,14,9246
98,2014,15,9488
99,2014,16,6739
100,2014,17,7961
101,2014,18,9938
102,2014,19,9288
103,2014,20,8527
104,2014,21,7996
105,2015,1,9090
106,2015,2,8620
107,2015,3,12565
108,2015,4,7494
109,2015,5,8937
110,2015,6,8793
111,2015,7,7610
112,2015,8,8771
113,2015,9,9499
114,2015,10,8081
115,2015,11,9561
116,2015,12,13859
117,2015,13,8955
118,2015,14,10268
119,2015,15,10797
120,2015,16,7254
121,2015,17,9224
122,2015,18,10504
123,2015,19,9939
124,2015,20,9124
125,2015,21,8926
126,2016,1,9599
127,2016,2,8560
128,2016,3,13049
129,2016,4,8608
130,2016,5,8992
131,2016,6,9541
132,2016,7,8285
133,2016,8,8487
134,2016,9,9556
135,2016,10,8980
136,2016,11,9624
137,2016,12,14603
138,2016,13,10367
139,2016,14,10489
140,2016,15,11176
141,2016,16,7458
142,2016,17,9534
143,2016,18,10909
144,2016,19,10311
145,2016,20,9817
146,2016,21,9919
147,2017,1,6924
148,2017,2,6058
149,2017,3,8652
150,2017,4,5703
151,2017,5,6275
152,2017,6,6738
153,2017,7,5812
154,2017,8,5345
155,2017,9,6401
156,2017,10,6081
157,2017,11,6593
158,2017,12,9806
159,2017,13,7496
160,2017,14,7123
161,2017,15,7796
162,2017,16,5000
163,2017,17,6488
164,2017,18,7464
165,2017,19,6772
166,2017,20,6903
167,2017,21,6343
